Nama Produk;label;text_cleaned;text_stopwords_removed;clean_text;token_awal;token_akhir;reduksi;persen_%
Deutsche Welle;Langganan;deutsche welle;deutsche welle;deutsche welle welle;2;3;0;0
Cabai hijau segar;Konsumsi;cabai hijau segar;cabai;cabai;3;1;2;66.7
Tiket Bus Corporate;Transport;tiket bus corporate;tiket bus corporate;tiket bus bus corporate;3;4;0;0
rica rica Bebek siap saji 150 gram;Konsumsi;rica rica bebek siap saji gram;rica rica bebek saji;rica rica bebek saji;7;4;3;42.9
ORI BEST QUALITY SIKAT GIGI BEHEL NANO TECH - Tooth Brush Jepang Nano Micro Bisa Untuk Gigi Sensitif - Bulu Lembut Extra Soft ortho brush - Interdental Tusuk Dental Floss Pembersih Plak Karang Sela Gigi - Behelldental;Kesehatan;ori best quality sikat gigi behel nano tech tooth brush jepang nano micro bisa untuk gigi sensitif bulu lembut extra soft ortho brush interdental tusuk dental floss pembersih plak karang sela gigi behelldental;quality sikat gigi behel nano tech tooth brush jepang nano micro gigi bulu extra soft ortho brush interdental tusuk dental floss pembersih plak karang gigi behelldental;quality sikat gigi behel nano tech tooth brush jepang nano micro gigi bulu extra soft ortho brush interdental tusuk dental floss bersih plak karang gigi behelldental;37;26;11;29.7
Elimas Dipp Glaze 200 Gr | sinarserayuabadimulia;Konsumsi;elimas dipp glaze gr sinarserayuabadimulia;elimas dipp glaze sinarserayuabadimulia;elimas dipp glaze sinarserayuabadimulia;7;4;3;42.9
NULACTA PLUS KAPSUL;Kesehatan;nulacta plus kapsul;nulacta kapsul;nulacta kapsul;3;2;1;33.3
Basreng;Konsumsi;basreng;basreng;basreng;1;1;0;0
OpenPGP;Langganan;openpgp;openpgp;openpgp openpgp;1;2;0;0
PAKET BUNDLING ISI 5 PCS MAKRONI MAKARONI BANTET BANTAT PEDAS 50 GRAM KHAS TASIKMALAYA;Konsumsi;paket bundling isi pcs makroni makaroni bantet bantat pedas gram khas tasikmalaya;bundling makroni makaroni bantet tasikmalaya;bundling makroni makaroni bantet tasikmalaya;14;5;9;64.3
shuttle hotel;Transport;shuttle hotel;shuttle hotel;shuttle hotel hotel;2;3;0;0
Gaplek;Konsumsi;gaplek;gaplek;gaplek;1;1;0;0
COVERAM 5MG/5MG TABLET;Kesehatan;coveram mgmg tablet;coveram mgmg tablet;tablet mgmg coveram;3;3;0;0
MANDALA 525 RASA PLAIN 200G;Kesehatan;mandala rasa plain g;mandala plain;mandala plain;5;2;3;60
CRYSTAL X ORIGINAL NASA Cristal X ASLI Kristal X Nasa Solusi Masalah Kewanitaan Terbaik Dan Terampuh;Kesehatan;crystal x original nasa cristal x asli kristal x nasa solusi masalah kewanitaan terbaik dan terampuh;crystal nasa cristal kristal nasa solusi kewanitaan terbaik terampuh;crystal nasa cristal kristal nasa solusi wanita baik ampuh;16;9;7;43.8
Cetak Kresek Oxium /PE Bening Ukuran 28 - Custom Logo;Konsumsi;cetak kresek oxium pe bening ukuran custom logo;cetak kresek oxium pe bening custom logo;cetak kresek oxium pe bening custom logo;10;7;3;30
Lusha;Langganan;lusha;lusha;lusha;1;1;0;0
Stan;Langganan;stan;stan;stan;1;1;0;0
GLIMEPIRIDE DEXA 1MG TABLET (1 Dos isi 5 Strip @10 Tablet);Kesehatan;glimepiride dexa mg tablet dos isi strip tablet;glimepiride dexa mg tablet dos strip tablet;glimepiride dexa mg tablet dos strip tablet;11;7;4;36.4
Bakpia Pathok 525 Asli Jogja - Kering - Kacang Hijau - 20 biji;Konsumsi;bakpia pathok asli jogja kering kacang hijau biji;bakpia pathok jogja kacang;bakpia pathok jogja kacang;13;4;9;69.2
Bayar Tagihan Iconnet;Tagihan;bayar tagihan iconnet;tagihan iconnet;tagih iconnet iconnet;3;3;1;33.3
Docker;Langganan;docker;docker;docker docker;1;2;0;0
Monthly Tax Payment;Tagihan;monthly tax payment;monthly tax payment;tax payment;3;2;0;0
Resmi pembuat Aplikasi tagihan wifi RT RW net  Suport link tagih lewat WA;Tagihan;resmi pembuat aplikasi tagihan wifi rt rw net suport link tagih lewat wa;pembuat aplikasi tagihan wifi rt rw suport tagih wa;buat aplikasi tagih wifi rt rw suport tagih wa;13;9;4;30.8
Kotak Retainer Dental / Tempat Gigi Palsu Denture Box;Kesehatan;kotak retainer dental tempat gigi palsu denture box;retainer dental gigi denture;retainer dental gigi denture;9;4;5;55.6
Sony LIV;Langganan;sony liv;sony liv;sony liv sony;2;3;0;0
Autan Junior Lotion Anti Nyamuk (50 Gram);Kesehatan;autan junior lotion anti nyamuk gram;autan lotion anti nyamuk;autan nyamuk anti lotion;7;4;3;42.9
Mail & Guardian;Langganan;mail guardian;mail guardian;mail guardian mail;3;3;1;33.3
Dapoer Kuno - Oseng Tuna Asap Pedas 250gr;Konsumsi;dapoer kuno oseng tuna asap pedas gr;dapoer oseng tuna asap;dapoer oseng tuna asap;8;4;4;50
Promo Token Listrik 5k 10k 15k 20k 20ribu;Tagihan;promo token listrik k k k k ribu;token listrik ribu;token ribu listrik;8;3;5;62.5
Andalan Strip Uji Kehamilan;Kesehatan;andalan strip uji kehamilan;andalan strip uji kehamilan;andal strip hamil uji;4;4;0;0
COKLAT ANTUM Emas Mini Gift Souvenir Angpao Imlek Natal Lebaran Seserahan Ulang Tahun Kondangan  Nikahan Tunangan Wisuda Kelulusan;Konsumsi;coklat antum emas mini gift souvenir angpao imlek natal lebaran seserahan ulang tahun kondangan nikahan tunangan wisuda kelulusan;coklat antum emas gift souvenir angpao imlek natal lebaran seserahan ulang kondangan nikahan tunangan wisuda kelulusan;coklat antum emas gift souvenir angpao imlek natal lebaran serah ulang kondangan nikah tunang wisuda kelulus;18;16;2;11.1
Virgin Australia;Transport;virgin australia;virgin australia;virgin australia australia;2;3;0;0
Voucher Tambah Daya PLN Terbaru Tambah Daya Listrik PLN;Tagihan;voucher tambah daya pln terbaru tambah daya listrik pln;daya pln daya listrik pln;daya listrik daya pln pln;9;5;4;44.4
BUBUK MINUMAN ANEKA RASA 500GR BUBUK MINUMAN STICKY MILK BUBUK MINUMAN KENINIAN SERBUK MINUMAN 500GR;Konsumsi;bubuk minuman aneka rasa gr bubuk minuman sticky milk bubuk minuman keninian serbuk minuman gr;bubuk minuman aneka bubuk minuman sticky milk bubuk minuman keninian serbuk minuman;bubuk minum aneka bubuk minum sticky milk bubuk minum nini serbuk minum;15;12;3;20
(100 LEMBAR) STRUK PEMBELIAN TOKEN LISTRIK | NOTA TOKEN LISTRIK KECIL | STRUK TOKEN LISTRIK;Tagihan;lembar struk pembelian token listrik nota token listrik kecil struk token listrik;struk pembelian token listrik token listrik struk token listrik;struk struk token listrik token listrik beli token listrik;15;9;6;40
Dimsum Imperial isi 25;Konsumsi;dimsum imperial isi;dimsum;dimsum;4;1;3;75
air mineral cleo 220 ml / cleo botol mini / cleo mini 220ml x 24 pcs;Konsumsi;air mineral cleo ml cleo botol mini cleo mini ml x pcs;air mineral cleo cleo cleo;air mineral cleo cleo cleo;16;5;11;68.8
Niacef 4% Gel 15 g;Kesehatan;niacef gel g;niacef gel;niacef gel;5;2;3;60
Dental Kit Hotel | 1 Sikat Gigi + 1 Pasta Gigi Cool Up 6gr Isi 500 set;Kesehatan;dental kit hotel sikat gigi pasta gigi cool up gr isi set;dental kit hotel sikat gigi pasta gigi cool up;dental kit hotel sikat gigi pasta gigi cool up;17;9;8;47.1
Martabak King Amygos, Candi Gebang;Konsumsi;martabak king amygos candi gebang;martabak king amygos candi gebang;martabak king amygos candi gebang;5;5;0;0
Tiket Whoosh Halim Padalarang;Transport;tiket whoosh halim padalarang;tiket whoosh halim padalarang;whoosh halim padalarang;4;3;0;0
Cabe Merah Besar Kering Lombok Habang Cabai Kalimantan Tidak Pedas Tanpa Biji;Konsumsi;cabe merah besar kering lombok habang cabai kalimantan tidak pedas tanpa biji;cabe lombok habang cabai kalimantan;cabe lombok habang cabai kalimantan;12;5;7;58.3
AdAway;Langganan;adaway;adaway;adaway;1;1;0;0
(PGN) Pasta Gigi Nasa - Pasta Gigi Membantu Menghilangkan Karang Gigi - Rumah Cantikkk;Kesehatan;pgn pasta gigi nasa pasta gigi membantu menghilangkan karang gigi rumah cantikkk;pgn pasta gigi nasa pasta gigi membantu menghilangkan karang gigi rumah cantikkk;pgn pasta gigi nasa pasta gigi bantu hilang karang gigi rumah cantikkk;14;12;2;14.3
PAKET HEMAT!! Basreng original + Basreng pedas daun jeruk isi/kemasan 500gram;Konsumsi;paket hemat basreng original basreng pedas daun jeruk isikemasan gram;basreng basreng daun jeruk isikemasan;basreng basreng daun jeruk isikemasan;11;5;6;54.5
Cokelat Cube SILVER QUU Isi 40 Pcs / Cokelat Kubus / Cokelat 1 Box;Konsumsi;cokelat cube silver quu isi pcs cokelat kubus cokelat box;cube silver quu kubus;cube silver quu kubus;14;4;10;71.4
Kamil Sosis Sapi Goreng Serbaguna 450 Gr Isi 15;Konsumsi;kamil sosis sapi goreng serbaguna gr isi;sosis sapi goreng;sosis sapi goreng;9;3;6;66.7
Dapoer Kuno - Oseng Tuna Asap Balado 250gr;Konsumsi;dapoer kuno oseng tuna asap balado gr;dapoer oseng tuna asap balado;dapoer oseng tuna asap balado;8;5;3;37.5
PROMO Token Listrik PLN Termurah Proses Cepat;Tagihan;promo token listrik pln termurah proses cepat;token listrik pln proses;token listrik pln proses;7;4;3;42.9
PRENAGEN ESENSIS VAN 180GR;Kesehatan;prenagen esensis van gr;prenagen esensis van;prenagen prenagen esens van;4;4;1;25
Akar Bajakah Merah Kalalawit Kalimantan Anti Kanker Alami 100gram;Konsumsi;akar bajakah merah kalalawit kalimantan anti kanker alami gram;bajakah kalalawit kalimantan anti kanker;baja kalalawit kalimantan anti kanker;9;5;4;44.4
Flo Health;Langganan;flo health;flo health;flo health flo;2;3;0;0
SleepSpace;Langganan;sleepspace;sleepspace;sleepspace sleepspace;1;2;0;0
Indomie Rasa Ayam Bawang 69gr Mie Instan Gurih;Konsumsi;indomie rasa ayam bawang gr mie instan gurih;indomie ayam bawang mie gurih;indomie ayam bawang mie gurih;8;5;3;37.5
Goto UV-Comb Sisir Kutu Elektrik Rambut Penghilang Kutu Vacuum Comb;Kesehatan;goto uvcomb sisir kutu elektrik rambut penghilang kutu vacuum comb;goto uvcomb sisir kutu elektrik rambut penghilang kutu vacuum comb;goto uvcomb sisir kutu elektrik rambut hilang kutu vacuum comb;10;10;0;0
Citra Dewi;Transport;citra dewi;citra dewi;citra dewi dewi;2;3;0;0
AdGuard;Langganan;adguard;adguard;adguard adguard;1;2;0;0
Studypool;Langganan;studypool;studypool;studypool studypool;1;2;0;0
Masker Duckbill Anak | Masker Anak Duckbill 3ply | Masker Duckbill Bayi Motif Lucu | Duckbill Anak Motif | Masker Anak BTS;Kesehatan;masker duckbill anak masker anak duckbill ply masker duckbill bayi motif lucu duckbill anak motif masker anak bts;masker duckbill masker duckbill ply masker duckbill duckbill masker bts;masker duckbill masker duckbill ply masker duckbill duckbill masker bts;22;10;12;54.5
Signal;Langganan;signal;signal;signal signal;1;2;0;0
Bumbu Racik Indofood Spesial 6Sc X 45Gr;Konsumsi;bumbu racik indofood spesial sc x gr;bumbu racik indofood sc;bumbu racik indofood sc;7;4;3;42.9
Iced Green Tea Mint;Konsumsi;iced green tea mint;iced green tea mint;iced green tea mint;4;4;0;0
CENDO ASTHENOF EYE DROP 5ML;Kesehatan;cendo asthenof eye drop ml;cendo asthenof eye drop;cendo asthenof eye drop;5;4;1;20
VITAMAM 1;Kesehatan;vitamam;vitamam;vitamam;2;1;1;50
Pembayaran OVO PayLater;Tagihan;pembayaran ovo paylater;pembayaran ovo paylater;bayar ovo paylater;3;3;0;0
MEIZHOUSHIKE Oufen Lotus Root Powder HALAL BPOM - Chia Seed;Konsumsi;meizhoushike oufen lotus root powder halal bpom chia seed;meizhoushike oufen lotus root powder bpom chia seed;meizhoushike oufen lotus root powder bpom chia seed;10;8;2;20
Endomondo;Langganan;endomondo;endomondo;endomondo endomondo;1;2;0;0
Miscella-G | Miscella V Kapsul Manjakani - Pelancar Haid - Keputihan - Pereda Nyeri;Kesehatan;miscellag miscella v kapsul manjakani pelancar haid keputihan pereda nyeri;miscellag miscella kapsul manjakani pelancar haid keputihan pereda nyeri;miscellag miscella kapsul manjakani pelancar haid putih reda nyeri;14;9;5;35.7
Askrida Kendaraan;Tagihan;askrida kendaraan;askrida kendaraan;askrida kendara kendara;2;3;0;0
2 PCS - Promina Pasta Creamy Chicken Spinach 60 Gr;Konsumsi;pcs promina pasta creamy chicken spinach gr;promina pasta creamy chicken spinach;promina pasta creamy chicken spinach;10;5;5;50
TOKEN LISTRIK PRABAYAR PROMO  PLN 15 15k 20 20k 50 50k 100 100k 200 200k 500 500k 1 juta 1 jt 1jt 1000k;Tagihan;token listrik prabayar promo pln k k k k k k juta jt jt k;token listrik prabayar pln juta jt jt;token listrik prabayar juta pln jt jt;23;7;16;69.6
Refund Rental;Transport;refund rental;refund rental;refund rental refund;2;3;0;0
PROMO MOMENT COFFEE ISI 15 sct penunjang stamina/MOOD BOOSTER/stamina fit;Konsumsi;promo moment coffee isi sct penunjang staminamood boosterstamina fit;moment coffee sct penunjang staminamood boosterstamina;moment coffee sct tunjang staminamood boosterstamina;10;6;4;40
Terlaris Madu Olor Kambing Super Rudal 200 Ml;Konsumsi;terlaris madu olor kambing super rudal ml;madu olor kambing rudal;madu olor kambing rudal;8;4;4;50
10 Play;Langganan;play;play;play play;2;2;1;50
Paket Nasi Ayam Penyet BaPut by BAWANG PUTRI;Konsumsi;paket nasi ayam penyet baput by bawang putri;nasi ayam penyet baput by bawang putri;nasi ayam penyet baput by bawang putri;8;7;1;12.5
Bumbu Kuah Jontor Pedas Aroma Daun Jeruk;Konsumsi;bumbu kuah jontor pedas aroma daun jeruk;bumbu kuah jontor aroma daun jeruk;bumbu kuah jontor aroma daun jeruk;7;6;1;14.3
Station Transfer;Transport;station transfer;station transfer;station transfer transfer;2;3;0;0
Original Kopi HNI Coffee HNI Kopi Habbats Kopi HPAI;Konsumsi;original kopi hni coffee hni kopi habbats kopi hpai;kopi hni coffee hni kopi habbats kopi hpai;kopi hni coffee hni kopi habbats kopi hpai;9;8;1;11.1
Choco Almond Kue Kering Enak Tekstur Pas;Konsumsi;choco almond kue kering enak tekstur pas;choco almond kue tekstur pas;choco almond kue tekstur pas;7;5;2;28.6
Essential Oils Minyak Aromaterapi Pipet Dropper All Variant;Kesehatan;essential oils minyak aromaterapi pipet dropper all variant;essential oils minyak aromaterapi pipet dropper;essential oils minyak aromaterapi pipet dropper;8;6;2;25
(BELI BANYAK LEBIH HEMAT) Teh Hijau cap Kepala Djenggot ( isi 25pcs ) teh diet pelangsing;Konsumsi;beli banyak lebih hemat teh hijau cap kepala djenggot isi pcs teh diet pelangsing;beli teh cap kepala djenggot teh diet pelangsing;beli teh cap kepala djenggot teh diet langsing;16;8;8;50
Token listrik pln 50rb 100rb 200rb;Tagihan;token listrik pln rb rb rb;token listrik pln rb rb rb;token listrik pln rb rb rb;6;6;0;0
Thunar;Langganan;thunar;thunar;thunar;1;1;0;0
[PER PCS | BPOM] Plossa Minyak Angin Aromatherapy Inhaler 4in1;Kesehatan;per pcs bpom plossa minyak angin aromatherapy inhaler in;bpom plossa minyak angin aromatherapy inhaler in;bpom plossa angin minyak aromatherapy inhaler in;10;7;3;30
Putra Remaja Jakarta;Transport;putra remaja jakarta;putra jakarta;putra jakarta putra;3;3;1;33.3
Stiker Vinyl JUAL PULSA DAN TOKEN LISTRIK 10X23CM;Tagihan;stiker vinyl jual pulsa dan token listrik xcm;stiker vinyl pulsa token listrik xcm;stiker vinyl pulsa token listrik xcm xcm;8;7;2;25
Tiket Malam / Night Service Ticket;Transport;tiket malam night service ticket;tiket malam night service ticket;tiket tiket malam night service ticket;6;6;1;16.7
Puppet;Langganan;puppet;puppet;puppet puppet;1;2;0;0
Sarung Tangan SAFEGLOVE Nitrile Latex Karet Medis;Kesehatan;sarung tangan safeglove nitrile latex karet medis;sarung tangan safeglove nitrile latex medis;sarung tangan safeglove safeglove nitrile latex medis;7;7;1;14.3
ganti oli;Transport;ganti oli;ganti oli;ganti oli oli;2;3;0;0
oli mesin;Transport;oli mesin;oli mesin;oli mesin oli;2;3;0;0
sardenbrilian 155gr paket 5 kaleng exspayer 2029;Konsumsi;sardenbrilian gr paket kaleng exspayer;sardenbrilian kaleng exspayer;sardenbrilian kaleng exspayer;7;3;4;57.1
Magister Cairan Air Soflens / Air Pembersih Softlens Solution 120ml;Kesehatan;magister cairan air soflens air pembersih softlens solution ml;magister cairan air soflens air pembersih softlens solution;magister cair air soflens air bersih softlens solution;10;8;2;20
Tiket Event / Event Transport Pass;Transport;tiket event event transport pass;tiket event event transport pass;tiket event event transport pass;6;5;1;16.7
Bakso Mercon Pedas Besar Cap Semar Halal;Konsumsi;bakso mercon pedas besar cap semar halal;bakso mercon cap semar;bakso mercon cap mar;7;4;3;42.9
Pepsodent PASTA GIGI Pencegah Gigi Berlubang Anti-cavity Toothpaste dengan Double Kalsium 225G x2;Kesehatan;pepsodent pasta gigi pencegah gigi berlubang anticavity toothpaste dengan double kalsium g x;pepsodent pasta gigi pencegah gigi berlubang anticavity toothpaste double kalsium;pepsodent pasta gigi gigi cegah gigi lubang anticavity toothpaste double kalsium;13;11;3;23.1
Spalk anak ukuran 15 x 5 cm;Kesehatan;spalk anak ukuran x cm;spalk;spalk spalk;7;2;6;85.7
Sikat Gigi Hotel Duo Standar set odol NM (50pcs);Kesehatan;sikat gigi hotel duo standar set odol nm pcs;sikat gigi hotel duo odol nm;sikat gigi hotel duo odol nm;9;6;3;33.3
Bayar Samsat Sleman;Tagihan;bayar samsat sleman;samsat sleman;samsat sleman;3;2;1;33.3
Susu Milo 3 In 1 & Activ-GO 990gr;Konsumsi;susu milo in activgo gr;susu milo in activgo;susu milo in activgo;8;4;4;50
NUTRAHIS KAPLET / CeTeMe Obat Anti Alergi CTM 12 Kaplet;Kesehatan;nutrahis kaplet ceteme obat anti alergi ctm kaplet;nutrahis ceteme obat anti alergi ctm;nutrahis ceteme ceteme obat anti alergi ctm;10;7;4;40
Pie Susu Dhian Original Isi 10Pcs Oleh Oleh Khas Bali;Konsumsi;pie susu dhian original isi pcs oleh oleh khas bali;pie susu dhian bali;pie susu dhian bal;10;4;6;60
Jarte;Langganan;jarte;jarte;jarte jarte;1;2;0;0
Shuttle ke Stasiun;Transport;shuttle ke stasiun;shuttle stasiun;shuttle stasiun shuttle;3;3;1;33.3
Journal;Langganan;journal;journal;journal journal;1;2;0;0
Kantong kertas putih untuk kentang goreng / Donat - Custom Logo;Konsumsi;kantong kertas putih untuk kentang goreng donat custom logo;kantong kertas kentang goreng donat custom logo;kantong kertas kentang goreng donat custom logo;11;7;4;36.4
Kasa Steril 16x16cm KS B10 Onemed 2 Box Free Plesterin One Amplop Isi 5;Kesehatan;kasa steril xcm ks b onemed box free plesterin one amplop isi;kasa xcm ks onemed plesterin one amplop;kasa xcm ks onemed one amplop;14;6;7;50
San Remo Pasta Elbow 500 gr;Konsumsi;san remo pasta elbow gr;san remo pasta elbow;san remo pasta elbow;6;4;2;33.3
aki mobil;Transport;aki mobil;aki;aki aki;2;2;1;50
Iuran CCTV Bulanan;Tagihan;iuran cctv bulanan;iuran cctv bulanan;iur cctv bulan bulan;3;4;0;0
Keripik singkong;Konsumsi;keripik singkong;keripik singkong;keripik singkong;2;2;0;0
Token Listrik Mini/Pln/Listrik Pintar 10k-5rb-100;Tagihan;token listrik miniplnlistrik pintar krb;token listrik miniplnlistrik krb;token listrik miniplnlistrik miniplnlistrik krb;5;5;1;20
OpenShift;Langganan;openshift;openshift;openshift;1;1;0;0
SSG BARICHO OAT SEREAL 140gr isi 20 OAT SEREAL BAR COKLAT CHOCO;Konsumsi;ssg baricho oat sereal gr isi oat sereal bar coklat choco;ssg baricho oat sereal oat sereal bar coklat choco;ssg baricho oat real oat real bar coklat choco;12;9;3;25
Simple Box;Konsumsi;simple box;simple;simple;2;1;1;50
Shopee Paket Data Telkomsel;Tagihan;shopee paket data telkomsel;shopee data telkomsel;shopee data telkomsel;4;3;1;25
Pajak Pajero Tahunan;Tagihan;pajak pajero tahunan;pajak pajero tahunan;pajak tahun;3;2;0;0
Mc Lewis Barbeque Sauce 1Kg;Konsumsi;mc lewis barbeque sauce kg;mc lewis barbeque sauce;mc lewis barbeque sauce;5;4;1;20
CloudFront CLI;Langganan;cloudfront cli;cloudfront cli;cloudfront cli cloudfront;2;3;0;0
Oncom Kedele;Konsumsi;oncom kedele;oncom kedele;oncom kedele;2;2;0;0
Hotto Purto Edamame Multigrain (1 Pouch x 12 Sachet ) - Rasa Mame Original;Konsumsi;hotto purto edamame multigrain pouch x sachet rasa mame original;hotto purto edamame multigrain mame;hotto purto edamame multigrain mame;14;5;9;64.3
Soto bandung masakan;Konsumsi;soto bandung masakan;soto bandung masakan;soto bandung masakan;3;3;0;0
rental sepeda listrik;Transport;rental sepeda listrik;rental sepeda listrik;rental sepeda listrik listrik;3;4;0;0
Paket 2 sikat gigi hotel-pasta gigi;Kesehatan;paket sikat gigi hotelpasta gigi;sikat gigi hotelpasta gigi;sikat gigi hotelpasta gigi;6;4;2;33.3
Selat Lumpia / kulit Selat popia / pie tee / paiti / spring roll;Konsumsi;selat lumpia kulit selat popia pie tee paiti spring roll;selat lumpia kulit selat popia pie tee paiti spring;selat lumpia kulit selat popia pie tee paiti spring;14;9;5;35.7
Dexlite;Transport;dexlite;dexlite;dexlite dexlite;1;2;0;0
CTN - Qtela Cassava Barbeque 60 Gr;Konsumsi;ctn qtela cassava barbeque gr;ctn qtela cassava barbeque;ctn qtela cassava barbeque;7;4;3;42.9
Flimty Fiber - 1 Box (isi 16 sachet);Kesehatan;flimty fiber box isi sachet;flimty fiber;flimty fiber;8;2;6;75
Gulong Stewed Pork Slice / SAMCAN kaleng  383 gram kaleng besar sam can sanjit / seserahan;Konsumsi;gulong stewed pork slice samcan kaleng gram kaleng besar sam can sanjit seserahan;gulong stewed pork slice samcan kaleng kaleng sam can sanjit seserahan;gulong stewed pork slice samcan kaleng kaleng sam can sanjit serah;16;11;5;31.2
Nova Play;Langganan;nova play;nova play;nova play;2;2;0;0
Dark Horse Comics;Langganan;dark horse comics;dark horse comics;dark horse;3;2;0;0
NATUR - E WHITE 32 Kapsul With Glutathion Vitamine E;Kesehatan;natur e white kapsul with glutathion vitamine e;natur white kapsul with glutathion vitamine;natur natur white kapsul with glutathion vitamine;10;7;4;40
Risolegend By Mbak Dy Nogotirto, Sulawesi;Konsumsi;risolegend by mbak dy nogotirto sulawesi;risolegend by mbak dy nogotirto sulawesi;risolegend by mbak dy nogotirto sulawesi;6;6;0;0
Bayar Kos Pogung;Tagihan;bayar kos pogung;kos pogung;kos pogung kos;3;3;1;33.3
Remote Experience;Langganan;remote experience;remote experience;remote experience experience;2;3;0;0
Wasabi CLI;Langganan;wasabi cli;wasabi cli;wasabi cli;2;2;0;0
SAHARA SARI KURMA 330G;Kesehatan;sahara sari kurma g;sahara sari kurma;sahara sari kurma;4;3;1;25
ikan tuna San bell(kusus mancing);Konsumsi;ikan tuna san bellkusus mancing;ikan tuna san bellkusus mancing;ikan tuna san bellkusus mancing;5;5;0;0
D'MAMAM SBY Chicken Nugget with Carrot 250g Nugget Ayam Wortel MPASI Homemade HACCP BPOM HALAL;Konsumsi;dmamam sby chicken nugget with carrot g nugget ayam wortel mpasi homemade haccp bpom halal;dmamam sby chicken nugget with carrot nugget ayam wortel mpasi homemade haccp bpom;dmamam sby chicken nugget with carrot nugget ayam wortel mpasi homemade haccp bpom;15;13;2;13.3
Boci Aci Mantap Jiwa Asli Garut Pedas Nampol;Konsumsi;boci aci mantap jiwa asli garut pedas nampol;boci aci jiwa garut nampol;boci aci jiwa garut nampol;8;5;3;37.5
Kopi Dari Tani 1L;Konsumsi;kopi dari tani l;kopi tani;kopi tani;4;2;2;50
Bayar Pajak Mobil Yaris;Tagihan;bayar pajak mobil yaris;pajak yaris;pajak yaris;4;2;2;50
Transport ke Pool Travel;Transport;transport ke pool travel;transport pool travel;transport transport pool travel;4;4;1;25
RW anjing masakan;Konsumsi;rw anjing masakan;rw anjing masakan;rw anjing masakan;3;3;0;0
Canva Pro;Langganan;canva pro;canva pro;canva pro;2;2;0;0
AYAM FILLET HALAL DENGAN / TANPA KULIT PAHA DADA DAGING BONELESS FILET MURAH BEKASI BERSIH POTONG SEGAR FRESH FROZEN BEKU;Konsumsi;ayam fillet halal dengan tanpa kulit paha dada daging boneless filet murah bekasi bersih potong segar fresh frozen beku;ayam fillet kulit paha dada daging boneless filet bekasi potong fresh frozen beku;ayam fillet kulit paha dada daging boneless filet bekas potong fresh frozen beku;20;13;7;35
2 Pcs - Susu Kental Manis Indomilk Choco 370Gr copy;Konsumsi;pcs susu kental manis indomilk choco gr copy;susu indomilk choco copy;susu indomilk choco copy;10;4;6;60
Gopay Paket Data Axis;Tagihan;gopay paket data axis;gopay data axis;gopay data axis;4;3;1;25
SUSU BERNAS 2 BOX 400gr Nutrisi Terbaik Pertumbuhan Anak Bunda ~ 100% Asli BPOM RESMI;Konsumsi;susu bernas box gr nutrisi terbaik pertumbuhan anak bunda asli bpom resmi;susu nutrisi terbaik pertumbuhan bunda bpom;susu nutrisi baik tumbuh bunda bpom;15;6;9;60
NISTROL 20MG TAB 20S;Kesehatan;nistrol mg tab s;nistrol mg tab;nistrol mg tab;4;3;1;25
Motor Listrik Ride;Transport;motor listrik ride;motor listrik ride;listrik ride;3;2;0;0
FRISIAN FLAG STRAWBERRY 250ML;Kesehatan;frisian flag strawberry ml;frisian flag strawberry;frisian flag flag strawberry;4;4;1;25
BREYLEE HALAL Pemutih Gigi Teeth Whitening Powder 30g/55g - Mencerahkan Gigi Pemutih Gigi Parah Noda Kopi Rokok Serbuk Pemutih Gigi;Kesehatan;breylee halal pemutih gigi teeth whitening powder gg mencerahkan gigi pemutih gigi parah noda kopi rokok serbuk pemutih gigi;breylee pemutih gigi teeth whitening powder gg mencerahkan gigi pemutih gigi noda kopi rokok serbuk pemutih gigi;breylee mutih gigi teeth whitening powder gg cerah gigi mutih gigi noda kopi rokok serbuk mutih gigi;20;17;3;15
Baygon Liquid Electric Refill Lavender 22ml;Kesehatan;baygon liquid electric refill lavender ml;baygon liquid electric refill lavender;baygon liquid electric refill lavender;6;5;1;16.7
AIReader;Langganan;aireader;aireader;aireader;1;1;0;0
ROYCO bumbu penyedap 9gr kaldu AYAM SAPI sachet RENCENG ( isi 12 );Konsumsi;royco bumbu penyedap gr kaldu ayam sapi sachet renceng isi;royco bumbu penyedap kaldu ayam sapi renceng;royco bumbu sedap kaldu ayam sapi renceng;13;7;6;46.2
MINYAK TELON HUKI 60ML;Kesehatan;minyak telon huki ml;minyak telon huki;minyak ton huki;4;3;1;25
Viaplay;Langganan;viaplay;viaplay;viaplay viaplay;1;2;0;0
Dimsum Dim Sum Ayam Home Made Fresh Halal Depok Siu Mai Shu Mai Somay Siap Saji Somai Frozen Food;Konsumsi;dimsum dim sum ayam home made fresh halal depok siu mai shu mai somay siap saji somai frozen food;dimsum dim sum ayam home made fresh depok siu mai shu mai somay saji somai frozen food;dimsum dim sum ayam home made fresh depok siu mai shu mai somay saji soma frozen food;19;17;2;10.5
Bayam kukus;Konsumsi;bayam kukus;bayam kukus;bayam kukus;2;2;0;0
NoMos Premium Jumbo Obat Nyamuk Bakar Ampuh Dimeflutrin;Kesehatan;nomos premium jumbo obat nyamuk bakar ampuh dimeflutrin;nomos obat nyamuk bakar ampuh dimeflutrin;nomos obat nyamuk bakar ampuh dimeflutrin;8;6;2;25
